id,unix_time,gps_x_dec,gps_y_dec,wojewodztwo,miejscowosc,ulica,predkosc_dopuszczalna,rodzaj_nawierzchni,warunki_atmosferyczne,obszar_zabudowany,czy_sygnalizacja_swietlna
106661114,1515266400.0,14.833527777777778,51.673361111111106,WOJ. LUBUSKIE,TUPLICE,MICKIEWICZA,50,01,04,01,03
106668719,1515256800.0,16.333805555555553,51.78813888888889,WOJ. LUBUSKIE,,,90,01,01,02,03
106660441,1515267900.0,15.047361111111112,52.327111111111115,WOJ. LUBUSKIE,,,140,01,04,02,03
106660646,1515341400.0,15.238333333333333,52.730916666666666,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,CHROBREGO,50,01,01,01,01
106664066,1515307800.0,15.570305555555555,52.46163888888889,WOJ. LUBUSKIE,MIĘDZYRZECZ,K. WIELKIEGO,50,01,01,01,03
106667039,1515334500.0,,,WOJ. LUBUSKIE,MIĘDZYRZECZ,MIESZKA I,50,01,01,01,01
106661412,1515345600.0,15.097416666666668,52.74625,WOJ. LUBUSKIE,BACZYNA,OSIEDLOWA,50,01,01,02,03
106661221,1515327060.0,15.57725,52.319,WOJ. LUBUSKIE,,,140,01,01,02,03
106661488,1515346500.0,15.55038888888889,51.95788888888889,WOJ. LUBUSKIE,,,60,01,01,02,03
106661120,1515304140.0,15.763305555555556,52.13933333333333,WOJ. LUBUSKIE,NOWE KRAMSKO,POWSTAŃCÓW WIELKOPOLSKICH,50,01,05,01,03
106661346,1515344280.0,15.516111111111112,51.94636111111111,WOJ. LUBUSKIE,ZIELONA GÓRA,SULECHOWSKA,50,01,04,01,03
